order_id,item_id,quantity,unit_price
1,111,2,397
2,90,3,159
2,89,3,510
3,78,3,530
4,49,1,302
5,91,3,307
5,92,3,323
6,74,1,260
6,73,2,342
7,106,1,485
8,84,1,305
8,83,2,307
9,15,3,193
10,49,3,302
10,50,2,519
11,71,1,141
11,72,2,492
12,90,2,159
13,120,3,304
14,92,2,323
14,91,3,307
15,112,1,268
16,11,3,176
16,12,1,548
17,99,2,516
17,100,3,253
18,63,2,270
18,64,2,284
19,94,1,247
19,93,3,262
20,93,1,262
21,105,3,208
22,14,2,128
23,89,3,510
23,90,2,159
24,43,1,141
24,44,2,281
25,94,3,247
26,28,2,154
27,39,3,152
28,93,1,262
29,79,1,193
29,80,3,431
30,93,1,262
31,100,2,253
31,99,2,516
32,9,2,447
33,71,3,141
34,61,2,428
35,10,2,526
35,9,1,447
36,94,2,247
36,93,3,262
37,55,2,293
37,56,3,215
38,27,2,523
38,28,1,154
39,4,1,492
40,45,2,323
40,46,2,537
41,44,2,281
42,68,1,428
42,67,2,348
43,58,2,308
43,57,1,374
44,95,3,496
45,93,3,262
45,94,2,247
46,104,1,189
47,42,2,223
48,93,3,262
48,94,1,247
49,115,3,380
50,19,3,333
50,20,1,215
51,52,3,259
51,51,3,289
52,20,3,215
52,19,2,333
53,15,1,193
53,16,2,269
54,77,1,382
55,117,2,525
55,118,2,191
56,57,1,374
56,58,2,308
57,118,1,191
58,94,2,247
59,93,2,262
59,94,2,247
60,108,2,469
60,107,3,534
61,10,3,526
61,9,1,447
62,120,1,304
62,119,1,133
63,90,1,159
64,86,2,429
64,85,1,136
65,38,3,443
66,45,3,323
67,105,3,208
67,106,1,485
68,68,2,428
69,106,1,485
70,53,2,343
71,66,2,458
71,65,3,287
72,93,3,262
72,94,3,247
73,94,3,247
74,17,1,434
75,106,3,485
76,39,2,152
77,52,2,259
77,51,1,289
78,109,3,297
79,6,2,267
79,5,2,517
80,111,1,397
81,75,2,463
81,76,1,446
82,19,2,333
