order_id,customer_id,restaurant_id,order_datetime,order_status,payment_method,delivery_time_minutes,rating,subtotal,delivery_fee,discount,total_amount
1,284,56,2025-07-08 14:51:00,Rejected,Credit Card,,,794,35,50,779
2,246,45,2025-07-30 13:52:00,Delivered,Credit Card,38,4,2007,40,0,2047
3,67,39,2025-09-15 01:53:00,Delivered,Credit Card,37,3,1590,30,75,1545
4,41,25,2025-04-11 20:35:00,Delivered,Debit Card,57,5,302,40,50,292
5,173,46,2025-01-22 00:05:00,Delivered,Debit Card,59,5,1890,30,50,1870
6,155,37,2025-05-06 21:25:00,Delivered,UPI,62,4,944,40,0,984
7,161,53,2025-06-13 23:55:00,Delivered,Cash,26,,485,35,0,520
8,137,42,2025-05-07 04:06:00,Delivered,Cash,57,2,919,40,20,939
9,256,8,2025-09-12 00:05:00,Cancelled,Cash,,,579,30,0,609
10,26,25,2025-09-11 19:56:00,Delivered,Cash,36,1,1944,35,0,1979
11,24,36,2025-01-27 18:35:00,Delivered,Debit Card,22,4,1125,30,75,1080
12,174,45,2025-07-07 04:12:00,Delivered,Cash,50,1,318,40,20,338
13,77,60,2025-09-21 04:20:00,Cancelled,Debit Card,,,912,30,30,912
14,173,46,2025-09-18 17:31:00,Delivered,Debit Card,48,,1567,30,75,1522
15,14,56,2025-08-31 08:41:00,Delivered,Credit Card,64,4,268,25,0,293
16,294,6,2025-04-08 00:28:00,Delivered,Credit Card,44,4,1076,40,0,1116
17,245,50,2025-07-12 10:11:00,Delivered,Debit Card,52,3,1791,30,0,1821
18,153,32,2025-12-27 06:44:00,Delivered,Debit Card,48,3,1108,25,0,1133
19,22,47,2025-02-10 11:59:00,Delivered,Debit Card,65,2,1033,40,0,1073
20,125,47,2025-12-09 16:14:00,Delivered,UPI,24,4,262,40,0,302
21,209,53,2025-09-01 15:41:00,Delivered,Debit Card,38,1,624,20,0,644
22,214,7,2025-01-19 12:50:00,Delivered,Debit Card,20,5,256,35,50,241
23,279,45,2025-09-10 04:54:00,Delivered,Debit Card,30,,1848,25,0,1873
24,173,22,2025-10-18 21:48:00,Delivered,Cash,45,1,703,30,0,733
25,4,47,2025-07-16 07:28:00,Delivered,Debit Card,37,5,741,30,50,721
26,121,14,2025-12-08 03:29:00,Delivered,Cash,61,3,308,40,0,348
27,113,20,2025-09-02 04:29:00,Delivered,Debit Card,44,4,456,40,75,421
28,42,47,2025-09-28 22:23:00,Delivered,UPI,21,,262,30,75,217
29,267,40,2025-03-01 21:13:00,Delivered,Cash,23,,1486,35,20,1501
30,289,47,2025-10-14 14:43:00,Delivered,UPI,43,1,262,35,0,297
31,33,50,2025-01-31 02:59:00,Delivered,Debit Card,44,2,1538,35,0,1573
32,277,5,2025-12-01 11:07:00,Delivered,Cash,51,2,894,35,50,879
33,279,36,2025-09-30 12:52:00,Delivered,Cash,40,2,423,35,30,428
34,9,31,2025-04-16 02:06:00,Delivered,Cash,56,1,856,35,0,891
35,277,5,2025-01-29 04:32:00,Rejected,Credit Card,,,1499,40,0,1539
36,212,47,2025-05-21 01:35:00,Cancelled,Credit Card,,,1280,35,75,1240
37,269,28,2025-12-23 13:26:00,Delivered,Cash,29,,1231,25,75,1181
38,238,14,2025-10-15 13:26:00,Delivered,Credit Card,42,2,1200,40,50,1190
39,98,2,2025-05-18 12:43:00,Delivered,UPI,22,5,492,30,0,522
40,8,23,2025-04-08 23:07:00,Delivered,Cash,33,2,1720,35,30,1725
41,184,22,2025-05-14 11:32:00,Cancelled,Cash,,,562,25,0,587
42,161,34,2025-01-24 18:55:00,Delivered,Credit Card,19,5,1124,25,20,1129
43,292,29,2025-09-13 17:41:00,Cancelled,Debit Card,,,990,30,0,1020
44,72,48,2025-09-08 05:58:00,Cancelled,UPI,,,1488,20,75,1433
45,4,47,2025-03-12 20:14:00,Delivered,Credit Card,18,4,1280,20,0,1300
46,273,52,2025-07-30 00:01:00,Delivered,Debit Card,52,,189,20,0,209
47,269,21,2025-05-04 06:39:00,Delivered,Debit Card,35,,446,35,30,451
48,125,47,2025-06-03 21:52:00,Delivered,UPI,23,4,1033,20,20,1033
49,223,58,2025-06-19 18:54:00,Rejected,UPI,,,1140,40,20,1160
50,139,10,2025-02-08 21:59:00,Delivered,UPI,29,,1214,35,0,1249
51,154,26,2025-10-16 07:36:00,Delivered,Cash,61,,1644,20,30,1634
52,178,10,2025-02-20 13:14:00,Delivered,Debit Card,56,,1311,35,20,1326
53,117,8,2025-10-11 12:27:00,Delivered,Cash,23,,731,25,20,736
54,79,39,2025-06-12 11:06:00,Delivered,Debit Card,46,3,382,25,20,387
55,230,59,2025-02-22 00:05:00,Delivered,UPI,56,3,1432,20,50,1402
56,287,29,2025-10-20 16:10:00,Delivered,Credit Card,26,3,990,30,20,1000
57,154,59,2025-02-09 11:16:00,Cancelled,Cash,,,191,25,0,216
58,4,47,2025-06-20 19:24:00,Delivered,Debit Card,46,5,494,40,50,484
59,103,47,2025-06-10 05:25:00,Rejected,Debit Card,,,1018,35,0,1053
60,59,54,2025-04-13 18:34:00,Delivered,UPI,64,2,2540,35,0,2575
61,156,5,2025-05-10 21:09:00,Delivered,Cash,22,5,2025,30,50,2005
62,275,60,2025-11-23 02:06:00,Delivered,Debit Card,28,1,437,20,0,457
63,114,45,2025-09-23 17:37:00,Delivered,Credit Card,46,4,159,35,0,194
64,152,43,2025-02-13 03:53:00,Cancelled,Credit Card,,,994,40,20,1014
65,179,19,2025-02-19 14:46:00,Delivered,Debit Card,22,1,1329,20,50,1299
66,85,23,2025-09-22 05:35:00,Delivered,Cash,47,4,969,35,20,984
67,15,53,2025-11-11 06:28:00,Delivered,Cash,18,2,1109,30,0,1139
68,101,34,2025-02-28 08:42:00,Delivered,Debit Card,56,4,856,35,30,861
69,89,53,2025-12-28 09:58:00,Delivered,UPI,61,1,485,25,0,510
70,73,27,2025-07-18 13:38:00,Delivered,Cash,45,5,686,30,0,716
71,96,33,2025-08-19 19:03:00,Delivered,UPI,49,4,1777,35,20,1792
72,86,47,2025-10-17 00:50:00,Delivered,Debit Card,20,5,1527,35,30,1532
73,262,47,2025-10-21 03:17:00,Delivered,Debit Card,52,,741,25,20,746
74,53,9,2025-06-02 01:28:00,Delivered,UPI,46,,434,40,50,424
75,180,53,2025-11-09 20:27:00,Delivered,Credit Card,31,,1455,30,30,1455
76,276,20,2025-06-15 22:18:00,Delivered,Debit Card,50,,304,20,0,324
77,65,26,2025-05-08 04:45:00,Delivered,Credit Card,61,2,807,20,20,807
78,264,55,2025-12-22 11:29:00,Cancelled,Debit Card,,,891,35,50,876
79,184,3,2025-10-01 12:13:00,Rejected,Credit Card,,,1568,40,30,1578
80,67,56,2025-09-06 10:57:00,Delivered,UPI,20,4,397,35,20,412
81,1,38,2025-04-14 22:58:00,Delivered,Debit Card,28,,1372,30,50,1352
82,85,10,2025-07-22 20:19:00,Delivered,Credit Card,45,1,666,20,0,686
83,116,46,2025-12-15 14:00:00,Delivered,Debit Card,25,,630,35,0,665
84,53,6,2025-06-10 11:56:00,Delivered,Cash,26,2,528,25,20,533
85,180,53,2025-04-20 20:47:00,Delivered,Cash,57,2,208,20,30,198
86,197,8,2025-08-08 10:50:00,Delivered,Debit Card,59,5,1000,40,30,1010
87,97,53,2025-07-20 09:41:00,Delivered,Credit Card,49,2,1386,25,20,1391
88,292,43,2025-07-07 17:43:00,Delivered,Cash,22,1,429,20,0,449
89,204,27,2025-05-27 20:45:00,Delivered,Cash,45,1,324,30,0,354
90,262,47,2025-03-21 17:20:00,Delivered,UPI,37,2,262,35,0,297
91,233,46,2025-11-08 01:19:00,Delivered,Credit Card,25,2,614,30,30,614
92,265,53,2025-05-13 05:23:00,Delivered,Debit Card,64,,970,30,30,970
93,33,35,2025-12-31 18:40:00,Delivered,Cash,50,4,347,30,75,302
94,53,49,2025-12-12 23:07:00,Delivered,UPI,20,,318,35,0,353
95,197,5,2025-04-02 01:35:00,Delivered,Cash,32,4,2472,20,30,2462
96,27,4,2025-04-25 16:02:00,Cancelled,UPI,,,470,40,20,490
97,5,47,2025-04-13 09:36:00,Delivered,Credit Card,47,4,262,20,20,262
98,13,23,2025-10-05 11:40:00,Delivered,UPI,39,4,1506,35,20,1521
99,31,20,2025-12-31 08:05:00,Delivered,Credit Card,51,3,942,35,0,977
100,291,3,2025-08-11 21:08:00,Delivered,Debit Card,38,,1568,25,0,1593
101,104,21,2025-10-27 03:09:00,Delivered,Cash,47,1,986,30,75,941
102,62,16,2025-03-22 21:19:00,Delivered,UPI,31,,1995,30,20,2005
103,263,47,2025-12-13 09:16:00,Delivered,Credit Card,19,,771,25,0,796
104,7,14,2025-04-24 04:12:00,Delivered,Debit Card,61,1,677,35,75,637
105,66,15,2025-06-19 03:02:00,Cancelled,UPI,,,1368,35,20,1383
106,16,47,2025-12-16 13:11:00,Delivered,Credit Card,35,2,786,30,20,796
107,211,45,2025-09-03 01:05:00,Delivered,Credit Card,44,5,1020,30,20,1030
108,279,37,2025-06-26 18:32:00,Delivered,Debit Card,29,5,684,20,75,629
109,242,45,2025-07-03 18:14:00,Rejected,UPI,,,1020,40,75,985
110,29,4,2025-10-22 12:22:00,Cancelled,Credit Card,,,546,30,75,501
111,184,46,2025-01-15 22:44:00,Delivered,Credit Card,54,,953,20,0,973
112,120,60,2025-04-23 00:33:00,Delivered,Debit Card,57,2,437,25,30,432
113,73,51,2025-02-26 16:55:00,Delivered,UPI,41,4,532,30,0,562
114,81,36,2025-11-24 15:41:00,Delivered,Debit Card,32,2,633,20,50,603
115,294,36,2025-10-18 01:11:00,Delivered,Credit Card,58,4,1476,20,0,1496
116,178,28,2025-03-27 20:56:00,Rejected,Debit Card,,,508,20,0,528
117,132,6,2025-01-01 01:24:00,Delivered,Cash,28,,1996,20,75,1941
118,246,49,2025-11-30 21:14:00,Delivered,UPI,20,3,1043,35,0,1078
119,39,47,2025-06-23 19:39:00,Cancelled,UPI,,,509,20,0,529
120,106,47,2025-07-29 22:35:00,Delivered,Debit Card,60,2,524,40,30,534
121,252,7,2025-01-28 11:00:00,Delivered,Debit Card,60,4,394,25,0,419
122,150,3,2025-08-31 03:19:00,Delivered,Cash,49,,1051,35,0,1086
123,96,40,2025-01-23 08:28:00,Delivered,Credit Card,35,2,579,30,75,534
124,278,38,2025-10-29 07:35:00,Delivered,Cash,51,5,1372,35,75,1332
125,18,48,2025-10-20 16:51:00,Delivered,Credit Card,25,,711,25,0,736
126,217,1,2025-12-16 13:12:00,Rejected,Credit Card,,,509,40,20,529
127,283,28,2025-05-22 16:29:00,Cancelled,UPI,,,508,40,30,518
128,299,3,2025-02-24 18:49:00,Delivered,Debit Card,52,,1835,40,30,1845
129,243,14,2025-03-30 08:25:00,Delivered,Cash,20,3,1569,35,0,1604
130,191,2,2025-06-22 09:19:00,Delivered,Cash,62,2,1476,35,75,1436
131,165,22,2025-08-02 19:41:00,Delivered,Cash,31,,704,25,0,729
132,160,48,2025-07-26 04:49:00,Delivered,UPI,29,2,496,35,0,531
133,185,53,2025-04-12 08:23:00,Delivered,Cash,58,,416,35,30,421
134,229,5,2025-08-31 18:35:00,Delivered,Credit Card,34,,526,35,0,561
135,84,47,2025-04-24 20:14:00,Delivered,Debit Card,59,1,247,25,30,242
136,5,47,2025-05-10 19:51:00,Cancelled,Debit Card,,,1018,25,20,1023
137,155,45,2025-11-16 12:37:00,Delivered,Debit Card,53,5,828,30,0,858
138,167,22,2025-05-14 20:45:00,Cancelled,Debit Card,,,423,25,0,448
139,207,41,2025-12-15 04:46:00,Delivered,Cash,36,4,1014,40,75,979
140,98,13,2025-04-24 21:34:00,Delivered,Cash,60,3,498,20,20,498
141,66,25,2025-10-14 05:43:00,Cancelled,UPI,,,519,30,20,529
142,170,22,2025-05-14 18:18:00,Delivered,UPI,48,5,281,40,0,321
143,196,45,2025-06-02 13:03:00,Delivered,Credit Card,26,,1179,25,75,1129
144,42,47,2025-06-20 20:11:00,Delivered,UPI,18,2,524,20,0,544
145,223,58,2025-08-08 12:27:00,Rejected,Cash,,,1140,25,50,1115
146,192,2,2025-06-14 16:12:00,Delivered,UPI,58,,984,25,0,1009
147,197,27,2025-10-29 09:10:00,Delivered,UPI,37,,1315,30,20,1325
148,184,4,2025-03-26 12:01:00,Delivered,Credit Card,31,,364,20,20,364
149,131,48,2025-11-16 01:38:00,Rejected,UPI,,,1488,20,20,1488
150,228,47,2025-03-05 17:16:00,Delivered,Credit Card,31,1,1527,30,30,1527
151,71,43,2025-02-23 16:46:00,Delivered,Debit Card,25,,1559,25,0,1584
152,210,8,2025-03-24 01:35:00,Delivered,Credit Card,62,,1000,20,0,1020
153,294,37,2025-03-18 02:49:00,Delivered,UPI,34,4,602,25,75,552
154,21,22,2025-07-04 21:20:00,Delivered,UPI,24,,141,25,0,166
155,184,34,2025-11-15 08:56:00,Delivered,Debit Card,39,4,1900,35,75,1860
156,216,57,2025-03-27 03:08:00,Delivered,UPI,28,5,2417,30,30,2417
157,15,53,2025-03-08 15:58:00,Delivered,Cash,46,3,1594,40,30,1604
158,49,19,2025-12-05 23:15:00,Delivered,Cash,27,,1095,25,30,1090
159,241,40,2025-03-26 02:48:00,Delivered,Credit Card,39,,579,35,20,594
160,121,16,2025-08-24 14:51:00,Delivered,UPI,49,1,2006,20,30,1996
161,282,10,2025-02-16 19:39:00,Delivered,Credit Card,59,3,1096,40,75,1061
162,243,57,2025-07-06 22:28:00,Delivered,Credit Card,18,3,1450,25,75,1400
163,210,1,2025-05-11 19:12:00,Delivered,Cash,31,2,882,40,0,922
164,231,44,2025-12-04 18:32:00,Delivered,Cash,18,1,1977,25,50,1952
165,66,15,2025-07-18 21:38:00,Delivered,Debit Card,50,,1902,30,20,1912
